datetime,strike_label,option_type,open,high,low,close,volume,oi,iv,strike_price,spot
2025-03-27 09:15:00,ATM-10,CALL,506.8,532.3,506.8,519.6,3675,191400,60.270851,22950,23452.7
2025-03-27 09:15:00,ATM-10,PUT,3.95,3.95,2,3.35,1099800,2363700,43.816943,22950,23452.7
2025-03-27 09:15:00,ATM-9,CALL,461.8,483.8,457.35,465,22875,4563300,50.942522,23000,23452.7
2025-03-27 09:15:00,ATM-9,PUT,4,4.65,3.25,4.2,2535225,12100675,41.852738,23000,23452.7
2025-03-27 09:15:00,ATM-8,CALL,425,425,422.5,422.5,600,191700,53.632206,23050,23452.7
2025-03-27 09:15:00,ATM-8,PUT,5.3,6.05,4,5.55,810975,1994850,40.216443,23050,23452.7
2025-03-27 09:15:00,ATM-7,CALL,367.5,385.6,365.75,369,6375,1106775,45.870965,23100,23452.7
2025-03-27 09:15:00,ATM-7,PUT,5,8.05,4.95,7.4,1285725,5262900,38.580229,23100,23452.7
2025-03-27 09:15:00,ATM-6,CALL,320.5,339.5,320.3,320.8,13875,555000,42.53357,23150,23452.7
2025-03-27 09:15:00,ATM-6,PUT,9.9,11.15,6.95,9.5,957075,2210550,36.502372,23150,23452.7
2025-03-27 09:15:00,ATM-5,CALL,281.15,293.6,267.25,274.6,74175,1889925,40.19207,23200,23452.7
2025-03-27 09:15:00,ATM-5,PUT,15,15.65,10.2,13.5,2785125,7619250,35.315537,23200,23452.7
2025-03-27 09:15:00,ATM-4,CALL,255,255,223.15,229.35,39000,666675,37.705202,23250,23452.7
2025-03-27 09:15:00,ATM-4,PUT,15.5,21.8,14.1,18.45,1903650,2655600,33.695652,23250,23452.7
2025-03-27 09:15:00,ATM-3,CALL,229.5,229.5,178.1,186.5,195525,1062000,35.640647,23300,23452.7
2025-03-27 09:15:00,ATM-3,PUT,24.4,28.85,18.3,25.2,3945000,8230275,32.000055,23300,23452.7
2025-03-27 09:15:00,ATM-2,CALL,150.3,163.95,136.8,144.7,359475,616500,32.961207,23350,23452.7
2025-03-27 09:15:00,ATM-2,PUT,40,40.05,28.05,34.2,2635800,2898075,30.130598,23350,23452.7
2025-03-27 09:15:00,ATM-1,CALL,125,139.45,100,100,1440600,1740900,27.824153,23400,23452.7
2025-03-27 09:15:00,ATM-1,PUT,45,54,40,44.8,6074250,7262850,27.474593,23400,23452.7
2025-03-27 09:15:00,ATM,CALL,93.35,93.35,66.75,73.2,2745600,1592100,28.409291,23450,23452.7
2025-03-27 09:15:00,ATM,PUT,55.15,71,53,63.5,4305525,3551175,26.276861,23450,23452.7
2025-03-27 09:15:00,ATM+1,CALL,54,68,40.1,45.7,4288200,7158375,26.390855,23500,23452.7
2025-03-27 09:15:00,ATM+1,PUT,87,94.45,76.5,85.65,4450725,7198950,24.026233,23500,23452.7
2025-03-27 09:15:00,ATM+2,CALL,39.95,42.25,25,30.35,2529375,3463200,27.028781,23550,23452.7
2025-03-27 09:15:00,ATM+2,PUT,120,125,105,120.6,1147425,2200200,24.473494,23550,23452.7
2025-03-27 09:15:00,ATM+3,CALL,20,30,16.05,19.6,3491625,7388475,27.695391,23600,23452.7
2025-03-27 09:15:00,ATM+3,PUT,145,164.8,130,159.05,1015350,3895350,24.014305,23600,23452.7
2025-03-27 09:15:00,ATM+4,CALL,10,20,9.5,13.95,2136825,4436550,29.512513,23650,23452.7
2025-03-27 09:15:00,ATM+4,PUT,165,218.3,165,203.45,273450,1988175,24.808285,23650,23452.7
2025-03-27 09:15:00,ATM+5,CALL,14.05,15,6.6,9.95,3293925,10497075,31.211569,23700,23452.7
2025-03-27 09:15:00,ATM+5,PUT,270,270,230,249.8,442350,3978075,25.230982,23700,23452.7
2025-03-27 09:15:00,ATM+6,CALL,9,9,4.5,6.95,2131725,5309550,32.633788,23750,23452.7
2025-03-27 09:15:00,ATM+6,PUT,273.65,299.65,273.65,299,66750,859200,27.93936,23750,23452.7
2025-03-27 09:15:00,ATM+7,CALL,7.4,8,3.1,5.55,2758500,10634250,34.965736,23800,23452.7
2025-03-27 09:15:00,ATM+7,PUT,315.05,348.15,315,345.25,94575,1735125,0,23800,23452.7
2025-03-27 09:15:00,ATM+8,CALL,5,5,2.45,4.05,1849800,4457025,36.486427,23850,23452.7
2025-03-27 09:15:00,ATM+8,PUT,376.7,399.2,372.25,390.15,29625,494850,0,23850,23452.7
2025-03-27 09:15:00,ATM+9,CALL,3.75,3.8,2.05,3.35,2215800,7584750,38.772462,23900,23452.7
2025-03-27 09:15:00,ATM+9,PUT,439.85,445.9,421.65,441,17850,586800,0,23900,23452.7
2025-03-27 09:15:00,ATM+10,CALL,1.75,3.1,1.55,2.65,1932900,3930900,40.627917,23950,23452.7
2025-03-27 09:15:00,ATM+10,PUT,473.9,483.35,473.9,483.35,450,119625,0,23950,23452.7
2025-03-27 09:16:00,ATM-10,CALL,519.6,524.8,513.35,513.35,5475,191400,64.539906,22950,23440.8
2025-03-27 09:16:00,ATM-10,PUT,3.25,4,3.25,3.6,1113975,2363700,43.577733,22950,23440.8
2025-03-27 09:16:00,ATM-9,CALL,462,476.3,462,464.4,17175,4563300,60.578465,23000,23440.8
2025-03-27 09:16:00,ATM-9,PUT,4.05,4.85,4.05,4.4,1693800,12100675,41.388999,23000,23440.8
2025-03-27 09:16:00,ATM-8,CALL,422.5,423.6,415,415,375,191700,56.09491,23050,23440.8
2025-03-27 09:16:00,ATM-8,PUT,5.15,6.1,5.1,5.4,900750,1962825,39.114577,23050,23440.8
2025-03-27 09:16:00,ATM-7,CALL,369,379.15,365.1,365.7,15075,1106775,51.532931,23100,23440.8
2025-03-27 09:16:00,ATM-7,PUT,6.85,7.75,6.6,7.1,988650,5262900,37.281489,23100,23440.8
2025-03-27 09:16:00,ATM-6,CALL,318.15,331.7,318.15,320.3,10650,555000,49.331077,23150,23440.8
2025-03-27 09:16:00,ATM-6,PUT,9.15,10.45,8.85,9.35,880650,2210550,35.348471,23150,23440.8
2025-03-27 09:16:00,ATM-5,CALL,270.85,284.35,270.3,271.7,52650,1889925,44.616975,23200,23440.8
2025-03-27 09:16:00,ATM-5,PUT,12.5,13.6,11.9,12.35,1883700,7619250,33.305541,23200,23440.8
2025-03-27 09:16:00,ATM-4,CALL,225,239,225,225.7,40950,666675,40.98725,23250,23440.8
2025-03-27 09:16:00,ATM-4,PUT,17.05,18.3,16.1,17.05,1291800,2655600,31.572521,23250,23440.8
2025-03-27 09:16:00,ATM-3,CALL,182.45,194.75,182.15,182.15,220350,1062000,37.915812,23300,23440.8
2025-03-27 09:16:00,ATM-3,PUT,23.45,24.45,21.2,23,2925975,8230275,29.43992,23300,23440.8
2025-03-27 09:16:00,ATM-2,CALL,139.65,152.6,139.65,140.35,214800,616500,34.687827,23350,23440.8
2025-03-27 09:16:00,ATM-2,PUT,32.3,32.4,29.3,31.55,2032125,2898075,27.320168,23350,23440.8
2025-03-27 09:16:00,ATM-1,CALL,102.75,113.35,102.05,102.7,1053900,1740900,31.968062,23400,23440.8
2025-03-27 09:16:00,ATM-1,PUT,42.9,44.35,39.05,44.35,3984150,7262850,25.410513,23400,23440.8
2025-03-27 09:16:00,ATM,CALL,68.05,77.65,66.35,68.95,2601300,1592100,29.120434,23450,23440.8
2025-03-27 09:16:00,ATM,PUT,61.2,61.2,54.05,60.65,4105425,3551175,22.768039,23450,23440.8
2025-03-27 09:16:00,ATM+1,CALL,43.6,50.35,42.4,44.25,3719775,7158375,27.724712,23500,23440.8
2025-03-27 09:16:00,ATM+1,PUT,82.7,85.6,76.4,85.6,3243750,7198950,20.754723,23500,23440.8
2025-03-27 09:16:00,ATM+2,CALL,26.8,31.85,25.95,27.65,2311950,3463200,27.35017,23550,23440.8
2025-03-27 09:16:00,ATM+2,PUT,120,120,109.65,118.9,881250,2200200,18.686312,23550,23440.8
2025-03-27 09:16:00,ATM+3,CALL,17.3,20.25,16.8,17.4,3030900,7388475,27.790546,23600,23440.8
2025-03-27 09:16:00,ATM+3,PUT,160.5,160.5,148.55,159.4,781350,3895350,15.073085,23600,23440.8
2025-03-27 09:16:00,ATM+4,CALL,12.75,14.2,12,12.25,1719150,4436550,29.524225,23650,23440.8
2025-03-27 09:16:00,ATM+4,PUT,202.2,203.25,192.8,203.25,176700,1988175,0,23650,23440.8
2025-03-27 09:16:00,ATM+5,CALL,8.95,10.2,8.6,8.8,2804250,10497075,31.302768,23700,23440.8
2025-03-27 09:16:00,ATM+5,PUT,252.65,252.65,238.95,250.1,300225,3978075,0,23700,23440.8
2025-03-27 09:16:00,ATM+6,CALL,6.5,7.75,6.5,6.75,2030475,5309550,33.456232,23750,23440.8
2025-03-27 09:16:00,ATM+6,PUT,297.1,300,286.8,297.8,57825,859200,0,23750,23440.8
2025-03-27 09:16:00,ATM+7,CALL,5,5.9,4.9,5.1,2254725,10634250,35.330478,23800,23440.8
2025-03-27 09:16:00,ATM+7,PUT,346.25,346.25,333.05,345.45,85200,1735125,0,23800,23440.8
2025-03-27 09:16:00,ATM+8,CALL,3.85,4.55,3.85,3.95,1768575,4457025,37.253519,23850,23440.8
2025-03-27 09:16:00,ATM+8,PUT,395.35,395.35,382.75,393,11475,494850,0,23850,23440.8
2025-03-27 09:16:00,ATM+9,CALL,3.1,3.7,3.1,3.2,2281950,7584750,39.365162,23900,23440.8
2025-03-27 09:16:00,ATM+9,PUT,445,445,432.3,444.75,8250,586800,0,23900,23440.8
2025-03-27 09:16:00,ATM+10,CALL,2.65,3.25,2.6,2.8,2324100,3930900,41.887085,23950,23440.8
2025-03-27 09:16:00,ATM+10,PUT,483.35,492.15,483.35,483.45,300,119625,0,23950,23440.8
2025-03-27 09:17:00,ATM-10,CALL,513.35,521.85,510.85,520.6,3000,191400,65.380964,22950,23447.95
2025-03-27 09:17:00,ATM-10,PUT,3.5,3.5,3.1,3.25,677325,2363700,43.367388,22950,23447.95
2025-03-27 09:17:00,ATM-9,CALL,463,472.8,461.35,467.45,10425,4563300,57.849061,23000,23447.95
2025-03-27 09:17:00,ATM-9,PUT,4.25,4.25,3.7,3.95,1655925,12100675,41.137882,23000,23447.95
2025-03-27 09:17:00,ATM-8,CALL,415,423.85,414.55,420.1,750,191700,55.263101,23050,23447.95
2025-03-27 09:17:00,ATM-8,PUT,5.15,5.15,4.45,4.8,819825,1962825,38.788521,23050,23447.95
2025-03-27 09:17:00,ATM-7,CALL,365.7,375.65,363.8,371.75,24225,1106775,51.522412,23100,23447.95
2025-03-27 09:17:00,ATM-7,PUT,6.65,6.7,5.85,6.3,1055850,5262900,36.917956,23100,23447.95
2025-03-27 09:17:00,ATM-6,CALL,320.3,327.75,316.1,324.8,6300,555000,48.435497,23150,23447.95
2025-03-27 09:17:00,ATM-6,PUT,8.8,8.95,7.9,8.65,819525,2210550,35.323894,23150,23447.95
2025-03-27 09:17:00,ATM-5,CALL,272.15,280,269.9,275,47625,1889925,43.134046,23200,23447.95
2025-03-27 09:17:00,ATM-5,PUT,11.65,12,10.65,11.6,1509750,7619250,33.419783,23200,23447.95
2025-03-27 09:17:00,ATM-4,CALL,227.2,233.75,223.3,229.15,29475,666675,39.868415,23250,23447.95
2025-03-27 09:17:00,ATM-4,PUT,16.7,16.7,14.7,15.75,1156500,2655600,31.501085,23250,23447.95
2025-03-27 09:17:00,ATM-3,CALL,182,189.15,179.95,185,174300,1062000,36.783615,23300,23447.95
2025-03-27 09:17:00,ATM-3,PUT,22.05,22.45,20,21.7,2364450,8230275,29.599749,23300,23447.95
2025-03-27 09:17:00,ATM-2,CALL,141.85,147.15,138,143.2,153975,616500,33.856147,23350,23447.95
2025-03-27 09:17:00,ATM-2,PUT,29.45,31.55,27.9,30.1,1620750,2898075,27.637413,23350,23447.95
