datetime,strike_label,option_type,open,high,low,close,volume,oi,iv,strike_price,spot
2025-10-10 09:15:00,ATM-10,CALL,1241.15,1241.2,1241.15,1241.2,80,2300,9.26,81100,82132.37
2025-10-10 09:15:00,ATM-10,PUT,73.05,75.95,66.95,68.9,41400,27900,9.56,81100,82132.37
2025-10-10 09:15:00,ATM-9,PUT,84.25,87.35,76.55,79.75,46480,54960,9.43,81200,82132.37
2025-10-10 09:15:00,ATM-8,CALL,1072.5,1072.5,1072.45,1072.45,20,5660,9.32,81300,82132.37
2025-10-10 09:15:00,ATM-8,PUT,95.45,100,88.05,91.75,76900,52620,9.27,81300,82132.37
2025-10-10 09:15:00,ATM-7,PUT,121.8,121.8,102.55,106.15,41360,49840,9.15,81400,82132.37
2025-10-10 09:15:00,ATM-6,CALL,915.05,945,869.4,940.75,2700,34520,10.17,81500,82132.37
2025-10-10 09:15:00,ATM-6,PUT,133.6,135,118.3,123.65,106820,203360,9.06,81500,82132.37
2025-10-10 09:15:00,ATM-5,CALL,824.75,847.25,808,847.25,620,7940,9.62,81600,82132.37
2025-10-10 09:15:00,ATM-5,PUT,168,170,136.2,141.85,49500,55740,8.91,81600,82132.37
2025-10-10 09:15:00,ATM-4,CALL,717.95,780.7,717.8,780.7,4620,24180,9.77,81700,82132.37
2025-10-10 09:15:00,ATM-4,PUT,177.15,178.8,157,160.75,52340,84640,8.7,81700,82132.37
2025-10-10 09:15:00,ATM-3,CALL,638.35,706.9,638.35,697.15,12840,37660,9.39,81800,82132.37
2025-10-10 09:15:00,ATM-3,PUT,195.75,205.95,180.75,186.15,71000,97860,8.61,81800,82132.37
2025-10-10 09:15:00,ATM-2,CALL,616.35,634.9,540,624.7,25540,41160,9.22,81900,82132.37
2025-10-10 09:15:00,ATM-2,PUT,233.95,236.7,207.3,213.3,82360,124340,8.46,81900,82132.37
2025-10-10 09:15:00,ATM-1,CALL,519.85,564.2,500,561.85,131640,523780,9.22,82000,82132.37
2025-10-10 09:15:00,ATM-1,PUT,289.9,289.9,237.75,244.4,238960,595500,8.35,82000,82132.37
2025-10-10 09:15:00,ATM,CALL,469.15,500,428.1,489.85,118720,93700,8.91,82100,82132.37
2025-10-10 09:15:00,ATM,PUT,310.05,310.9,273.25,282.5,196380,132600,8.3,82100,82132.37
2025-10-10 09:15:00,ATM+1,CALL,410.6,440,351.8,432,189520,171380,8.84,82200,82132.37
2025-10-10 09:15:00,ATM+1,PUT,364.85,364.9,312.75,322.1,119700,130860,8.19,82200,82132.37
2025-10-10 09:15:00,ATM+2,CALL,354,385.1,327.25,376.25,125240,81000,8.73,82300,82132.37
2025-10-10 09:15:00,ATM+2,PUT,400,402.95,355.7,364.1,96000,42960,8.03,82300,82132.37
2025-10-10 09:15:00,ATM+3,CALL,275,333,275,327.05,87580,69620,8.68,82400,82132.37
2025-10-10 09:15:00,ATM+3,PUT,477.55,477.6,404.9,408.35,35460,33720,7.82,82400,82132.37
2025-10-10 09:15:00,ATM+4,CALL,267.2,286.2,237.85,285.3,107780,166420,8.69,82500,82132.37
2025-10-10 09:15:00,ATM+4,PUT,502,512.55,459.05,466,32560,89100,7.82,82500,82132.37
2025-10-10 09:15:00,ATM+5,CALL,227.95,244.55,203.45,238.35,48500,43020,8.51,82600,82132.37
2025-10-10 09:15:00,ATM+5,PUT,547.6,577.8,516.95,525.95,5640,15600,7.77,82600,82132.37
2025-10-10 09:15:00,ATM+6,CALL,191,208.75,172.8,202.4,48360,47460,8.46,82700,82132.37
2025-10-10 09:15:00,ATM+6,PUT,610.8,633,580.95,592.7,2500,7740,7.77,82700,82132.37
2025-10-10 09:15:00,ATM+7,CALL,164.35,175.9,143.6,171.8,57560,46080,8.48,82800,82132.37
2025-10-10 09:15:00,ATM+7,PUT,681.25,711.65,648.85,652.1,22000,4100,7.47,82800,82132.37
2025-10-10 09:15:00,ATM+8,CALL,134.9,147.3,119.1,144.1,60280,36260,8.45,82900,82132.37
2025-10-10 09:15:00,ATM+8,PUT,772.5,774.75,722.2,722.2,120,2140,7.31,82900,82132.37
2025-10-10 09:15:00,ATM+9,CALL,111.85,122.85,101.2,120,103500,245860,8.44,83000,82132.37
2025-10-10 09:15:00,ATM+9,PUT,823.05,862.4,800,800,2140,104820,7.26,83000,82132.37
2025-10-10 09:15:00,ATM+10,CALL,96.55,101.95,86.15,98.7,194760,45680,8.42,83100,82132.37
2025-10-10 09:15:00,ATM+10,PUT,892.65,892.65,878.35,878.35,40,1620,7.09,83100,82132.37
2025-10-10 09:16:00,ATM-10,CALL,1260,1260,1260,1260,40,2300,9.5,81100,82147.84
2025-10-10 09:16:00,ATM-10,PUT,69.95,73.4,68.65,68.65,24740,27900,9.64,81100,82147.84
2025-10-10 09:16:00,ATM-9,PUT,79.35,84.5,78.4,78.8,33940,54960,9.48,81200,82147.84
2025-10-10 09:16:00,ATM-8,CALL,1066.25,1073,1066.25,1073,160,5660,8.87,81300,82147.84
2025-10-10 09:16:00,ATM-8,PUT,91.35,97.05,89.85,90.4,37580,52620,9.33,81300,82147.84
2025-10-10 09:16:00,ATM-7,PUT,105.45,112.3,104.05,104.6,30820,49840,9.19,81400,82147.84
2025-10-10 09:16:00,ATM-6,CALL,925.35,929.8,890.2,921.3,3920,34520,9.22,81500,82147.84
2025-10-10 09:16:00,ATM-6,PUT,122.05,130,120,120.4,82700,203360,9.06,81500,82147.84
